severity,category,address,city,listing_id,page,snippet
HARD,familial,1017 Priory Cir,Winter Garden,3ef46d6f-0b6d-4f38-b474-8cad1d36356b,,"This gorgeous abode boasts a warm and welcoming atmosphere, ideal for families or individuals seeking a quiet and cozy place to call their own."
HARD,familial,1043 Hornbeam St,Oviedo,08b1ccb2-bd7c-4a7e-a19f-b24f33ea7410,,"With its modern features and ideal location, this home is perfect for families and professionals seeking comfort and convenience."
HARD,familial,105 Brierwood Drive,Sanford,6cb0b838-f22f-44f4-b986-f7225162fe93,,"The kitchen features wood cabinetry, abundant storage, a center island, a window seat, and a breakfast bar, ideal for family meals or gatherings."
HARD,familial,1061 Charter Oak Lane,Altamonte Springs,2a0d0989-d9e7-4696-b79d-2a98557f9ff8,,"Additional bedrooms are well-sized and versatile—ideal for family members, guests, or home offices—and are conveniently located near guest bathrooms with matching finishes for a polished look."
HARD,familial,1100 Lake Shadow Circle #2306,Maitland,4a0b4a41-50a5-4865-bb4d-0128a9b1c5aa,,"Perfect for families,  this condo is conveniently located just minutes from I-4, you'll enjoy quick access to Winter Park, downtown Orlando, 408, Altamonte Springs and the vibrant lifestyle that Central Florida has to of"
HARD,familial,1100 Lake Shadow Circle #2306,Maitland,4a0b4a41-50a5-4865-bb4d-0128a9b1c5aa,,"With its combination of family-friendly living, tranquil lake views, and easy access to major roadways, this condo offers the best of both worlds."
HARD,familial,1131 Kersfield Cir,Lake Mary,b35a99b6-7b87-4013-bf8d-b355796c453c,,"Cooking and entertaining are a breeze in the open kitchen space that flows seamlessly into two large living areas, ideal for family gatherings or quiet evenings."
HARD,familial,1165 Paseo De Las Flores Apt C,Casselberry,38b4ec7f-20f1-48dc-bd18-d256294e2b84,,This stunning gem offers a spacious layout is perfect for students or professionals.
HARD,familial,1224 Travertine Terrace,Sanford,252cb2f3-2c1f-40cb-857b-9ec4b6f8dd54,,"Upstairs includes a built-in shelf, ideal for family photos or household trinkets."
HARD,familial,123 W Lake Mary Ave,Lake Mary,a865a579-e790-4f5b-9bd6-b4e051d61ae7,,"The bedrooms offer ample space, making it perfect for families or individuals looking for extra comfort and privacy."
